Motifs:	 Frequencies:
292         20.16%
38          15.65%
7           12.20%
54          10.37%
164         6.40%
310         4.72%
21          4.47%
161         3.59%
278         3.26%
55          3.03%
294         2.84%
39          2.29%
14          1.93%
53          1.86%
270         0.91%
2358        0.77%
291         0.71%
439         0.49%
311         0.48%
162         0.42%
275         0.40%
2342        0.40%
307         0.40%
63          0.24%
435         0.16%
295         0.14%
151         0.14%
47          0.13%
2318        0.12%
183         0.11%
173         0.09%
438         0.08%
179         0.08%
150         0.08%
309         0.07%
2194        0.07%
2359        0.06%
3511        0.05%
301         0.05%
279         0.05%
2487        0.04%
102         0.04%
2193        0.03%
2196        0.03%
2357        0.03%
511         0.03%
181         0.02%
166         0.02%
15          0.02%
86          0.02%
447         0.02%
43          0.02%
78          0.01%
1133        0.01%
2343        0.01%
182         0.01%
3510        0.01%
2486        0.01%
319         0.01%
1190        0.01%
283         0.01%
2267        0.01%
2483        0.01%
255         0.01%
223         0.01%
191         0.01%
287         0.00%
1318        0.00%
2203        0.00%
1207        0.00%
303         0.00%
2485        0.00%
267         0.00%
95          0.00%
411         0.00%
351         0.00%
1197        0.00%
159         0.00%
2231        0.00%
4095        0.00%
415         0.00%
299         0.00%
367         0.00%
3519        0.00%
2229        0.00%
431         0.00%
3583        0.00%
1205        0.00%
2367        0.00%
806         0.00%
2227        0.00%
590         0.00%
271         0.00%
1471        0.00%
143         0.00%
614         0.00%
2495        0.00%
111         0.00%
2150        0.00%
1206        0.00%
2559        0.00%
2351        0.00%
157         0.00%
79          0.00%
427         0.00%
175         0.00%
879         0.00%
2423        0.00%
1215        0.00%
413         0.00%
2927        0.00%
2239        0.00%
2319        0.00%
815         0.00%
158         0.00%
2349        0.00%
1126        0.00%
623         0.00%
1791        0.00%
1327        0.00%
863         0.00%
1199        0.00%
2271        0.00%
1279        0.00%
2399        0.00%
591         0.00%
2303        0.00%
2135        0.00%
2415        0.00%
2935        0.00%
2462        0.00%
735         0.00%
2459        0.00%
2205        0.00%
2159        0.00%
2463        0.00%
3327        0.00%
1135        0.00%
